vacina_dataaplicacao,estab_municipio,1dose,2dose,doseU
2021-01-17,BELFORD ROXO,2,0,0
2021-01-17,COMENDADOR LEVY GASPARIAN,0,1,0
2021-01-17,DUQUE DE CAXIAS,0,3,0
2021-01-17,MIGUEL PEREIRA,1,0,0
2021-01-17,RIO DE JANEIRO,5,14,0
2021-01-17,SAO FRANCISCO DE ITABAPOANA,2,0,0
2021-01-17,SAO GONCALO,6,8,0
2021-01-17,SAO JOAO DE MERITI,0,2,0
2021-01-17,TERESOPOLIS,0,1,0
2021-01-17,TRES RIOS,1,0,0
2021-01-18,BELFORD ROXO,1,0,0
2021-01-18,BOM JESUS DO ITABAPOANA,1,0,0
2021-01-18,CAMPOS DOS GOYTACAZES,1,0,0
2021-01-18,CARDOSO MOREIRA,76,0,0
2021-01-18,DUQUE DE CAXIAS,30,1,0
2021-01-18,ITABORAI,1,0,0
2021-01-18,JAPERI,0,2,0
2021-01-18,MACAE,1,0,0
2021-01-18,NILOPOLIS,2,0,0
2021-01-18,NITEROI,1,0,0
2021-01-18,NOVA FRIBURGO,1,0,0
2021-01-18,NOVA IGUACU,1,0,0
2021-01-18,PARACAMBI,1,0,0
2021-01-18,RIO DAS OSTRAS,1,0,0
2021-01-18,RIO DE JANEIRO,4,2,0
2021-01-18,SAO GONCALO,3,0,0
2021-01-18,SAO JOAO DA BARRA,2,0,0
2021-01-18,VASSOURAS,1,0,0
2021-01-19,ANGRA DOS REIS,6,0,0
2021-01-19,APERIBE,4,0,0
2021-01-19,ARARUAMA,6,0,0
2021-01-19,AREAL,1,0,0
2021-01-19,ARMACAO DOS BUZIOS,4,0,0
2021-01-19,ARRAIAL DO CABO,1,0,0
2021-01-19,BARRA MANSA,244,1,0
2021-01-19,BELFORD ROXO,66,0,0
2021-01-19,BOM JARDIM,8,1,0
2021-01-19,BOM JESUS DO ITABAPOANA,39,1,0
2021-01-19,CACHOEIRAS DE MACACU,63,2,0
2021-01-19,CAMPOS DOS GOYTACAZES,20,0,0
2021-01-19,CANTAGALO,47,0,0
2021-01-19,CARAPEBUS,2,0,0
2021-01-19,CARDOSO MOREIRA,5,0,0
2021-01-19,COMENDADOR LEVY GASPARIAN,1,0,0
2021-01-19,CONCEICAO DE MACABU,43,0,0
2021-01-19,CORDEIRO,7,0,0
2021-01-19,DUAS BARRAS,20,0,0
2021-01-19,DUQUE DE CAXIAS,429,1,0
2021-01-19,GUAPIMIRIM,13,0,0
2021-01-19,IGUABA GRANDE,20,0,0
2021-01-19,ITABORAI,394,0,0
2021-01-19,ITAGUAI,199,0,0
2021-01-19,ITAPERUNA,2,0,0
2021-01-19,JAPERI,1,0,0
2021-01-19,MACAE,1,0,0
2021-01-19,MACUCO,27,0,0
2021-01-19,MAGE,87,0,0
2021-01-19,MANGARATIBA,3,0,0
2021-01-19,MARICA,11,0,0
2021-01-19,MENDES,2,0,0
2021-01-19,MESQUITA,4,2,0
2021-01-19,MIGUEL PEREIRA,2,0,0
2021-01-19,NILOPOLIS,2,1,0
2021-01-19,NITEROI,12,0,0
2021-01-19,NOVA FRIBURGO,21,0,0
2021-01-19,PARACAMBI,103,0,0
2021-01-19,PARATY,2,0,0
2021-01-19,PATY DO ALFERES,1,0,0
2021-01-19,PETROPOLIS,3,1,0
2021-01-19,PINHEIRAL,71,0,0
2021-01-19,PIRAI,34,0,0
2021-01-19,PORCIUNCULA,5,0,0
2021-01-19,QUISSAMA,43,0,0
2021-01-19,RESENDE,156,0,0
2021-01-19,RIO DAS FLORES,16,0,0
2021-01-19,RIO DAS OSTRAS,23,0,0
2021-01-19,RIO DE JANEIRO,661,17,0
2021-01-19,SAO GONCALO,5,2,0
2021-01-19,SAO JOAO DA BARRA,34,0,0
2021-01-19,SAO JOAO DE MERITI,7,0,0
2021-01-19,SAO PEDRO DA ALDEIA,1,0,0
2021-01-19,SAO SEBASTIAO DO ALTO,23,0,0
2021-01-19,SAQUAREMA,148,0,0
2021-01-19,SEROPEDICA,1,0,0
2021-01-19,TANGUA,7,0,0
2021-01-19,TERESOPOLIS,40,1,0
2021-01-19,TRAJANO DE MORAES,19,0,0
2021-01-19,TRES RIOS,10,0,0
2021-01-19,VARRE-SAI,24,0,0
2021-01-19,VASSOURAS,21,0,0
2021-01-19,VOLTA REDONDA,21,0,0
2021-01-20,ANGRA DOS REIS,510,0,0
2021-01-20,APERIBE,72,0,0
2021-01-20,ARARUAMA,84,1,0
2021-01-20,AREAL,19,0,0
2021-01-20,ARMACAO DOS BUZIOS,45,0,0
2021-01-20,ARRAIAL DO CABO,22,0,0
2021-01-20,BARRA DO PIRAI,152,0,0
2021-01-20,BARRA MANSA,202,2,0
2021-01-20,BELFORD ROXO,233,3,0
2021-01-20,BOM JARDIM,62,0,0
2021-01-20,BOM JESUS DO ITABAPOANA,251,1,0
2021-01-20,CABO FRIO,575,0,0
2021-01-20,CACHOEIRAS DE MACACU,117,2,0
2021-01-20,CAMBUCI,50,0,0
2021-01-20,CAMPOS DOS GOYTACAZES,580,0,0
2021-01-20,CANTAGALO,138,0,0
2021-01-20,CARAPEBUS,40,0,0
2021-01-20,CARDOSO MOREIRA,53,23,0
2021-01-20,CARMO,161,0,0
2021-01-20,CASIMIRO DE ABREU,114,0,0
2021-01-20,COMENDADOR LEVY GASPARIAN,62,0,0
2021-01-20,CONCEICAO DE MACABU,47,0,0
2021-01-20,CORDEIRO,140,0,0
2021-01-20,DUAS BARRAS,32,0,0
2021-01-20,DUQUE DE CAXIAS,1117,8,0
2021-01-20,ENGENHEIRO PAULO DE FRONTIN,69,0,0
2021-01-20,GUAPIMIRIM,62,1,0
2021-01-20,IGUABA GRANDE,27,0,0
2021-01-20,ITABORAI,643,1,0
2021-01-20,ITAGUAI,289,2,0
2021-01-20,ITALVA,29,0,0
2021-01-20,ITAOCARA,190,2,0
2021-01-20,ITAPERUNA,110,0,0
2021-01-20,ITATIAIA,49,0,0
2021-01-20,JAPERI,351,1,0
2021-01-20,MACAE,230,0,0
2021-01-20,MACUCO,32,0,0
2021-01-20,MAGE,93,0,0
2021-01-20,MANGARATIBA,80,0,0
2021-01-20,MARICA,199,4,0
2021-01-20,MENDES,58,0,0
2021-01-20,MESQUITA,675,9,0
2021-01-20,MIGUEL PEREIRA,97,0,0
2021-01-20,MIRACEMA,127,1,0
2021-01-20,NATIVIDADE,164,0,0
2021-01-20,NILOPOLIS,2532,19,0
2021-01-20,NITEROI,1586,5,0
2021-01-20,NOVA FRIBURGO,355,2,0
2021-01-20,NOVA IGUACU,250,4,0
2021-01-20,PARACAMBI,154,0,0
2021-01-20,PARAIBA DO SUL,116,0,0
2021-01-20,PARATY,81,2,0
2021-01-20,PATY DO ALFERES,41,0,0
2021-01-20,PETROPOLIS,162,20,0
2021-01-20,PINHEIRAL,66,0,0
2021-01-20,PIRAI,121,0,0
2021-01-20,PORCIUNCULA,35,0,0
2021-01-20,PORTO REAL,37,0,0
2021-01-20,QUATIS,63,0,0
2021-01-20,QUEIMADOS,245,0,0
2021-01-20,QUISSAMA,28,0,0
2021-01-20,RESENDE,580,0,0
2021-01-20,RIO BONITO,172,0,0
2021-01-20,RIO CLARO,76,0,0
2021-01-20,RIO DAS FLORES,16,0,0
2021-01-20,RIO DAS OSTRAS,154,0,0
2021-01-20,RIO DE JANEIRO,33796,70,0
2021-01-20,SANTA MARIA MADALENA,87,0,0
2021-01-20,SANTO ANTONIO DE PADUA,87,0,0
2021-01-20,SAO FIDELIS,68,0,0
2021-01-20,SAO GONCALO,757,1,0
2021-01-20,SAO JOAO DA BARRA,66,0,0
2021-01-20,SAO JOAO DE MERITI,85,0,0
2021-01-20,SAO JOSE DE UBA,28,0,0
2021-01-20,SAO JOSE DO VALE DO RIO PRETO,41,0,0
2021-01-20,SAO PEDRO DA ALDEIA,314,0,0
2021-01-20,SAO SEBASTIAO DO ALTO,80,0,0
2021-01-20,SAPUCAIA,41,0,0
2021-01-20,SAQUAREMA,168,7,0
2021-01-20,SEROPEDICA,102,1,0
2021-01-20,SILVA JARDIM,91,0,0
2021-01-20,SUMIDOURO,34,0,0
2021-01-20,TERESOPOLIS,273,0,0
2021-01-20,TRAJANO DE MORAES,81,0,0
2021-01-20,TRES RIOS,320,4,0
2021-01-20,VALENCA,459,0,0
