dataNotificacao,municipioNotificacao,totalUti,totalObitos
2020-01-01,RIO DE JANEIRO,12,0
2020-01-02,BOM JESUS DO ITABAPOANA,45,2
2020-01-02,RIO CLARO,4,0
2020-01-02,RIO DE JANEIRO,13,1
2020-01-03,CAMPOS DOS GOYTACAZES,33,0
2020-01-03,RIO DE JANEIRO,54,0
2020-01-03,SAO GONCALO,17,0
2020-01-04,MENDES,0,0
2020-01-04,MIRACEMA,7,0
2020-01-04,RIO DE JANEIRO,44,0
2020-01-05,ARMACAO DOS BUZIOS,0,0
2020-01-05,PARACAMBI,0,0
2020-01-08,RIO CLARO,4,0
2020-01-10,TERESOPOLIS,174,6
2020-01-11,ENGENHEIRO PAULO DE FRONTIN,0,0
2020-01-11,ITAGUAI,0,0
2020-01-12,RIO CLARO,4,0
2020-01-15,CAMPOS DOS GOYTACAZES,22,0
2020-01-16,ITAOCARA,3,0
2020-01-19,BOM JESUS DO ITABAPOANA,45,1
2020-01-21,ITAOCARA,4,0
2020-01-26,MAGE,0,0
2020-01-27,BELFORD ROXO,70,0
2020-01-28,MAGE,0,0
2020-01-28,SAPUCAIA,7,0
2020-01-29,MAGE,0,0
2020-01-31,SAO JOAO DA BARRA,2,0
2020-02-01,PARAIBA DO SUL,4,0
2020-02-02,SAO SEBASTIAO DO ALTO,0,0
2020-02-07,CAMPOS DOS GOYTACAZES,29,1
2020-02-09,VOLTA REDONDA,11,0
2020-02-10,RIO DE JANEIRO,11,0
2020-02-12,SANTO ANTONIO DE PADUA,0,0
2020-02-13,VOLTA REDONDA,13,0
2020-02-16,ITABORAI,14,0
2020-02-17,RIO DE JANEIRO,8,0
2020-02-18,RESENDE,18,2
2020-02-19,VOLTA REDONDA,12,0
2020-02-23,SAO GONCALO,26,2
2020-02-24,RESENDE,18,0
2020-02-28,SAO GONCALO,28,0
2020-03-02,SAO GONCALO,0,1
2020-03-04,SAO GONCALO,30,2
2020-03-07,ITABORAI,7,0
2020-03-14,ITABORAI,7,0
2020-03-16,RIO DE JANEIRO,15,1
2020-03-17,PETROPOLIS,0,0
2020-03-20,PETROPOLIS,0,1
2020-03-23,BELFORD ROXO,0,0
2020-03-23,PETROPOLIS,0,1
2020-03-24,BELFORD ROXO,3,0
2020-03-24,PARACAMBI,0,3
2020-03-25,PARACAMBI,0,1
2020-03-27,PARACAMBI,0,1
2020-03-28,ARMACAO DOS BUZIOS,0,0
2020-03-28,SAO GONCALO,0,0
2020-03-29,ARMACAO DOS BUZIOS,0,0
2020-03-30,ARMACAO DOS BUZIOS,2,0
2020-03-30,BELFORD ROXO,0,1
2020-03-30,PARACAMBI,0,1
2020-03-31,ARMACAO DOS BUZIOS,1,0
2020-03-31,PETROPOLIS,0,0
2020-04-01,APERIBE,0,0
2020-04-01,ARMACAO DOS BUZIOS,0,0
2020-04-01,BELFORD ROXO,30,0
2020-04-01,CAMBUCI,2,0
2020-04-01,ITABORAI,2,0
2020-04-01,ITAOCARA,3,0
2020-04-01,NITEROI,12,0
2020-04-01,NOVA FRIBURGO,12,0
2020-04-01,PARACAMBI,0,0
2020-04-01,PETROPOLIS,0,0
2020-04-01,RIO DE JANEIRO,416,2
2020-04-01,SANTO ANTONIO DE PADUA,0,0
2020-04-02,APERIBE,0,0
2020-04-02,ARMACAO DOS BUZIOS,0,0
2020-04-02,CAMBUCI,2,0
2020-04-02,CAMPOS DOS GOYTACAZES,58,6
2020-04-02,ITABORAI,1,1
2020-04-02,ITAOCARA,4,0
2020-04-02,NITEROI,8,4
2020-04-02,NOVA FRIBURGO,27,0
2020-04-02,RIO DE JANEIRO,411,4
2020-04-02,SANTO ANTONIO DE PADUA,0,0
2020-04-02,SAO GONCALO,0,2
2020-04-03,APERIBE,0,0
2020-04-03,ARMACAO DOS BUZIOS,0,0
2020-04-03,CAMBUCI,1,0
2020-04-03,ITABORAI,2,0
2020-04-03,ITAOCARA,3,0
2020-04-03,NITEROI,9,2
2020-04-03,NOVA FRIBURGO,15,0
2020-04-03,PETROPOLIS,0,0
2020-04-03,RIO DE JANEIRO,399,6
2020-04-03,SANTO ANTONIO DE PADUA,0,0
2020-04-04,APERIBE,0,0
2020-04-04,ARMACAO DOS BUZIOS,0,0
2020-04-04,BELFORD ROXO,30,0
2020-04-04,CAMBUCI,1,0
2020-04-04,ITABORAI,0,0
2020-04-04,ITAOCARA,1,0
2020-04-04,NITEROI,11,1
2020-04-04,NOVA FRIBURGO,15,0
2020-04-04,RIO DE JANEIRO,429,3
2020-04-04,SANTO ANTONIO DE PADUA,0,0
2020-04-05,APERIBE,0,0
2020-04-05,ARMACAO DOS BUZIOS,0,0
2020-04-05,BELFORD ROXO,33,0
2020-04-05,CAMBUCI,1,0
2020-04-05,ITABORAI,0,0
2020-04-05,ITAOCARA,2,0
2020-04-05,NITEROI,11,4
2020-04-05,NOVA FRIBURGO,12,0
2020-04-05,RIO DE JANEIRO,419,5
2020-04-05,SANTO ANTONIO DE PADUA,0,0
2020-04-06,APERIBE,0,0
2020-04-06,ARMACAO DOS BUZIOS,0,0
2020-04-06,BELFORD ROXO,33,0
2020-04-06,CAMBUCI,2,0
2020-04-06,ITABORAI,0,0
2020-04-06,ITAOCARA,2,0
2020-04-06,NITEROI,11,0
2020-04-06,NOVA FRIBURGO,14,0
2020-04-06,RIO DE JANEIRO,416,4
2020-04-06,SANTO ANTONIO DE PADUA,0,0
2020-04-07,APERIBE,0,0
2020-04-07,ARMACAO DOS BUZIOS,0,0
2020-04-07,BELFORD ROXO,29,0
2020-04-07,CAMBUCI,2,0
2020-04-07,ITABORAI,0,0
2020-04-07,ITAOCARA,4,0
2020-04-07,NITEROI,10,3
2020-04-07,NOVA FRIBURGO,13,0
2020-04-07,PETROPOLIS,0,0
2020-04-07,RIO DE JANEIRO,409,4
2020-04-07,SANTO ANTONIO DE PADUA,0,0
2020-04-08,APERIBE,0,0
2020-04-08,ARMACAO DOS BUZIOS,0,0
2020-04-08,BELFORD ROXO,32,1
2020-04-08,CAMBUCI,1,0
2020-04-08,ITABORAI,0,0
2020-04-08,ITAOCARA,2,0
2020-04-08,NITEROI,13,2
2020-04-08,NOVA FRIBURGO,13,0
2020-04-08,PARACAMBI,1,1
2020-04-08,RIO DE JANEIRO,465,5
2020-04-08,SANTO ANTONIO DE PADUA,0,0
2020-04-09,APERIBE,0,0
2020-04-09,ARMACAO DOS BUZIOS,0,0
2020-04-09,BELFORD ROXO,24,0
2020-04-09,CAMBUCI,1,0
2020-04-09,ITABORAI,0,0
2020-04-09,ITAOCARA,3,0
2020-04-09,MIGUEL PEREIRA,0,0
2020-04-09,NITEROI,11,0
2020-04-09,NOVA FRIBURGO,12,0
2020-04-09,PETROPOLIS,30,0
2020-04-09,RIO DE JANEIRO,522,10
2020-04-09,SANTO ANTONIO DE PADUA,0,0
2020-04-10,APERIBE,0,0
2020-04-10,ARMACAO DOS BUZIOS,0,0
2020-04-10,BELFORD ROXO,24,0
2020-04-10,CAMBUCI,2,0
2020-04-10,ITABORAI,0,0
2020-04-10,ITAOCARA,3,0
2020-04-10,MIGUEL PEREIRA,2,0
2020-04-10,NITEROI,11,0
2020-04-10,NOVA FRIBURGO,16,0
2020-04-10,PETROPOLIS,30,0
2020-04-10,RIO DE JANEIRO,518,11
2020-04-10,SANTO ANTONIO DE PADUA,0,0
2020-04-10,TRAJANO DE MORAES,0,0
2020-04-11,APERIBE,0,0
2020-04-11,ARMACAO DOS BUZIOS,0,0
2020-04-11,BELFORD ROXO,26,0
2020-04-11,CAMBUCI,1,0
2020-04-11,ITABORAI,0,0
2020-04-11,ITAOCARA,3,0
2020-04-11,MIGUEL PEREIRA,2,0
2020-04-11,NITEROI,10,2
2020-04-11,NOVA FRIBURGO,17,0
2020-04-11,PETROPOLIS,25,0
