Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2020];População estimada - pessoas [2020];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM <span>Índice de desenvolvimento humano municipal</span> [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2019];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2018]
Angra dos Reis;3300100;angrense;FERNANDO ANTÔNIO CECILIANO JORDÃO;813,42;207044;205,45;96,4;0,724;9,41;1048674,53;844589,2681;44590,88
Aperibé;3300159;aperibeense;RONALD DE CÁSSIO DAIBES MOREIRA;94,542;11901;107,92;96,7;0,692;14,49;44282,03729;51373,38482;15625,88
Araruama;3300209;araruamense;LIVIA SOARES BELLO DA SILVA;638,276;134293;175,55;98,3;0,718;13,03;319409,473;300538,0737;20480,15
Areal;3300225;arealense;JOSÉ AUGUSTO BERNARDES LIMA;110,724;12669;102,99;98;0,684;25,97;59613,31119;53040,68042;25200,29
Armação dos Búzios;3300233;buziano;ALEXANDRE DE OLIVEIRA MARTINS;70,977;34477;392,16;97,6;0,728;8,31;239846,2337;201183,5162;76723,42
Arraial do Cabo;3300258;cabista;MARCELO MAGNO FELIX DOS SANTOS;152,106;30593;172,91;99,2;0,733;8,87;129189,8957;134584,6904;42927,02
Barra do Piraí;3300308;barrense;MARIO REIS ESTEVES;584,61;100764;163,7;98,7;0,733;12,5;222231,6373;201994,1888;20602,24
Barra Mansa;3300407;barra-mansense;RODRIGO DRABLE COSTA;547,133;184833;324,94;98,4;0,729;14,76;506164,1276;464462,8159;28067,77
Belford Roxo;3300456;belford-roxense;WAGNER DOS SANTOS CARNEIRO;78,985;513118;6031,38;96,2;0,684;13,18;612861,7444;612697,5304;15598,12
Bom Jardim;3300506;bom-jardinense;PAULO VIEIRA DE BARROS;382,43;27616;65,86;97,4;0,66;14,45;91360,93363;83619,01202;24638,06
Bom Jesus do Itabapoana;3300605;bom-jesuense;PAULO SERGIO TRAVASSOS DO CARMO CYRILLO;596,659;37203;59,13;98,1;0,732;17,14;99483,01549;98359,22036;20586,07
Cabo Frio;3300704;cabo-friense;JOSÉ BONIFÁCIO FERREIRA NOVELLINO;413,449;230378;453,75;96,9;0,735;15,09;822362,4781;818453,9692;49297,56
Cachoeiras de Macacu;3300803;cachoeirense;RAFAEL MUZZI DE MIRANDA;954,749;59303;56,9;98,4;0,7;8,43;203269,8749;178476,2494;17638,69
Cambuci;3300902;cambuciense;MAXWELL VIEIGA GUIMARAES;558,281;15514;26,4;98,8;0,691;6,37;60667,69616;55295,19124;21730,91
Carapebus;3300936;carapebuense;CHRISTIANE MIRANDA DE ANDRADE CORDEIRO;304,885;16586;43,36;98,7;0,713;-;90008,6306;83993,54822;32536,67
Comendador Levy Gasparian;3300951;gaspariense;CLAUDIO MANNARINO;108,639;8576;76,53;99,4;0,685;-;44262,30107;33734,12898;45550,65
Campos dos Goytacazes;3301009;campista;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;4032,487;511168;115,16;97,3;0,716;14,51;1734229,741;1663244,704;64186,76
Cantagalo;3301108;cantagalense;JOAQUIM AUGUSTO CARVALHO DE PAULA;747,21;20168;26,47;95,4;0,709;19,14;93794,6147;81315,03497;36562,36
Cardoso Moreira;3301157;cardosense;GEANE CORDEIRO VINCLER;522,596;12821;24,02;98,6;0,648;24,39;65619,6093;53678,19872;21776,17
Carmo;3301207;carmense;SÉRGIO LUIZ PERES SOARES;305,749;19030;54,15;98,6;0,696;14,56;73908,7174;68920,76148;24286,12
Casimiro de Abreu;3301306;casimirense;RAMON DIAS GIDALTE;462,918;45041;76,71;98,5;0,726;6,85;238054,0715;197770,7116;50532,71
Conceição de Macabu;3301405;macabuense;JOSÉ SEBASTIÃO CASTRO;338,26;23398;61,08;98,8;0,712;24;92675,0408;64298,1721;15397,59
